rsmi,psmi,ea,dh
[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([C:2]([N:3]=[O:4])=[N+:6]=[N-:5])([H:7])([H:8])[H:9],48.65949000000001,21.36583
[C:1]([C:2]([N:3]=[O:4])=[N+:6]=[N-:5])([H:7])([H:8])[H:9],[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],27.293660000000013,-21.36583
[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([N:3]=[C:2]=[N:6][N:5]=[O:4])([H:7])([H:8])[H:9],74.20788,21.5394
[C:1]([N:3]=[C:2]=[N:6][N:5]=[O:4])([H:7])([H:8])[H:9],[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],52.66848,-21.5394
[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C@:2]([C:3]([H:10])([H:11])[H:12])([H:9])[C:6]([H:15])([H:16])[C:5]([H:13])([H:14])[C:4]1,75.92749,53.93774000000001
[C:1]1([H:7])([H:8])[C@:2]([C:3]([H:10])([H:11])[H:12])([H:9])[C:6]([H:15])([H:16])[C:5]([H:13])([H:14])[C:4]1,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],21.989749999999994,-53.93774000000001
[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1](=[C:4]([C:5]([C:6]([C:2](=[C:3]([H:10])[H:11])[H:9])([H:15])[H:16])([H:13])[H:14])[H:12])([H:7])[H:8],78.87598,6.53498
[C:1](=[C:4]([C:5]([C:6]([C:2](=[C:3]([H:10])[H:11])[H:9])([H:15])[H:16])([H:13])[H:14])[H:12])([H:7])[H:8],[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],72.341,-6.53498
[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C:2][C:3]([H:10])([H:11])[C:4]1([C:5]([C:6]([H:9])([H:15])[H:16])([H:13])[H:14])[H:12],83.62963,78.6082
[C:1]1([H:7])([H:8])[C:2][C:3]([H:10])([H:11])[C:4]1([C:5]([C:6]([H:9])([H:15])[H:16])([H:13])[H:14])[H:12],[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],5.021430000000009,-78.6082
[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([c:2]1[n:3]([H:9])[c:4]([H:8])[n:5][n:6]1)[H:7],60.39591,7.40655
[O:1]([c:2]1[n:3]([H:9])[c:4]([H:8])[n:5][n:6]1)[H:7],[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],52.98936,-7.40655
[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]1=[N+:5]([N-:6][H:9])[C:4]([H:8])=[N:3]1)[H:7],115.7748,107.2646
[O:1]([C:2]1=[N+:5]([N-:6][H:9])[C:4]([H:8])=[N:3]1)[H:7],[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],8.510199999999998,-107.2646
[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C@@:2]1([H:9])[N:3]=[C:4]([H:8])[N:5]=[N:6]1)[H:7],60.40306,42.14703
[O:1]([C@@:2]1([H:9])[N:3]=[C:4]([H:8])[N:5]=[N:6]1)[H:7],[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],18.256030000000003,-42.14703
[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([c:2]1[n:3][c:4]([H:8])[n:5]([H:9])[n:6]1)[H:7],49.64743,1.18431
[O:1]([c:2]1[n:3][c:4]([H:8])[n:5]([H:9])[n:6]1)[H:7],[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],48.46312,-1.18431
[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]([N:3]=[C:4]=[N:5][H:8])=[N:6][H:9])[H:7],77.6137,5.8206
[O:1]([C:2]([N:3]=[C:4]=[N:5][H:8])=[N:6][H:9])[H:7],[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],71.7931,-5.8206
[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]=[c:2]1[n:3]([H:7])[c:4]([H:8])[n:5][n:6]1[H:9],43.07705,-5.717230000000002
[O:1]=[c:2]1[n:3]([H:7])[c:4]([H:8])[n:5][n:6]1[H:9],[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],48.79428,5.717230000000002
[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]1=[N:3][C@@:4]1(/[N:5]=[N:6]/[H:9])[H:8])[H:7],113.08497,73.57601
[O:1]([C:2]1=[N:3][C@@:4]1(/[N:5]=[N:6]/[H:9])[H:8])[H:7],[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],39.50896,-73.57601
[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]([N+:3]#[C:4][H:8])[N:6]([N-:5])[H:9])[H:7],122.35329,116.94993999999998
[O:1]([C:2]([N+:3]#[C:4][H:8])[N:6]([N-:5])[H:9])[H:7],[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],5.403350000000017,-116.94993999999998
[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1](/[C:2]([N:3]1[C:4]([H:8])=[N:5]1)=[N:6]\[H:9])[H:7],97.40291,69.67412
[O:1](/[C:2]([N:3]1[C:4]([H:8])=[N:5]1)=[N:6]\[H:9])[H:7],[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],27.728790000000004,-69.67412
[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C:2]1([C:6]([C:5]([H:8])([H:13])[H:14])([H:15])[H:16])[C:3]([H:9])([H:10])[C:4]1([H:11])[H:12])[H:7],125.10363,20.34544
[O:1]([C:2]1([C:6]([C:5]([H:8])([H:13])[H:14])([H:15])[H:16])[C:3]([H:9])([H:10])[C:4]1([H:11])[H:12])[H:7],[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],104.75819,-20.34544
[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]=[C:2]([C:6]([C:5]([C:4]([C:3]([H:7])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:8],77.85659,4.04355
[O:1]=[C:2]([C:6]([C:5]([C:4]([C:3]([H:7])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:8],[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],73.81304,-4.04355
[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C:6]([C:5]([C:4]([C:3]([C:2][H:8])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:7],118.33529,96.24149
[O:1]([C:6]([C:5]([C:4]([C:3]([C:2][H:8])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:7],[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],22.0938,-96.24149
[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C@:2]1([H:8])[C:3]([H:9])([H:10])[C@@:4]1([C:5]([C:6]([H:12])([H:15])[H:16])([H:13])[H:14])[H:11])[H:7],125.28905,22.80121
[O:1]([C@:2]1([H:8])[C:3]([H:9])([H:10])[C@@:4]1([C:5]([C:6]([H:12])([H:15])[H:16])([H:13])[H:14])[H:11])[H:7],[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],102.48784,-22.80121
[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C:4]([C:5]([C:6]([C:2](=[C:3]([H:9])[H:10])[H:8])([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])[H:7],110.12579,17.59854
[O:1]([C:4]([C:5]([C:6]([C:2](=[C:3]([H:9])[H:10])[H:8])([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])[H:7],[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],92.52725,-17.59854
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N+:4](=[C-:5][O:6][H:12])[H:11])[H:10])([H:7])([H:8])[H:9],72.78562,35.64436
[C:1](/[N:2]=[C:3](/[N+:4](=[C-:5][O:6][H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],37.141259999999996,-35.64436
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N+:2](=[C-:3][N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],70.64856999999998,24.68407
[C:1]([N+:2](=[C-:3][N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],45.96449999999998,-24.68407
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](\[O:6]/[C:5](=[N:4]/[H:11])[H:12])[H:10])([H:7])([H:8])[H:9],53.94286,19.05904
[C:1](/[N:2]=[C:3](\[O:6]/[C:5](=[N:4]/[H:11])[H:12])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],34.88382,-19.05904
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N:2]1[C@:3]2([H:10])[N:4]([H:11])[C@:5]2([H:12])[O:6]1)([H:7])([H:8])[H:9],122.81303,92.19963
[C:1]([N:2]1[C@:3]2([H:10])[N:4]([H:11])[C@:5]2([H:12])[O:6]1)([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],30.6134,-92.19963
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C-:1]([N+:2](=[C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])[H:7])([H:8])[H:9],78.94281,44.32781
[C-:1]([N+:2](=[C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])[H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],34.614999999999995,-44.32781
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](=[N:2][C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])[H:10])([H:8])[H:9],81.87063,12.15495
[C:1](=[N:2][C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])[H:10])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],69.71568,-12.15495
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N:2](/[C:3](=[N:4]/[C:5](=[O:6])[H:12])[H:10])[H:11])([H:7])([H:8])[H:9],44.15229,4.37036
[C:1]([N:2](/[C:3](=[N:4]/[C:5](=[O:6])[H:12])[H:10])[H:11])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],39.78193,-4.37036
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N:4]=[C:5](/[O:6][H:11])[H:12])[H:10])([H:7])([H:8])[H:9],46.67653,13.81115
